Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,5,Svobodova ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,6,Grozer ,-,OH,4,3,1,0,-,7.14,3,2,3,8,12.5,1,1,1,3,0,0,0,3,3,0,1,0,5,6,16.67,4,1,5,60,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,7,Bukovska ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,8,Koulisiani ,-,MB,2,1,1,0,-,-12.5,1,1,1,3,0,1,1,1,3,0,0,1,1,2,-50,0,0,0,0,-,2,0,2,100,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,9,Digrinova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,1,4,7,14.29,6,2,10,40,0,0,4,4,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,10,Valkova ,-,S,1,0,1,0,-,9.09,0,0,1,1,0,1,0,2,3,33.33,0,0,7,7,0,0,0,0,0,-,3,0,4,75,10,0,16,26,38.46
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,11,Dostalova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,15,Jehlarova ,-,MB,4,2,2,0,-,18.18,2,0,3,5,40,2,2,1,5,0,0,0,1,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,16,Mlejnkova,C,OH,2,2,0,0,-,7.14,2,1,3,6,16.67,0,0,1,1,0,0,0,7,7,0,1,0,2,3,33.33,1,0,1,100,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,17,Dite ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
