Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,3,Retamar ,-,S,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,0,0,0,0,-,1,0,1,100,11,0,19,30,36.67
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,4,Lorenzo ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,7,Malabunga ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,13,Kalingking ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,15,Espejo ,-,OH,2,2,0,0,-,11.11,2,1,4,7,14.29,0,0,0,0,-,0,0,2,2,0,4,0,2,6,66.67,3,1,5,40,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,16,Taguibolos ,-,MB,1,1,0,0,-,-28.57,1,0,1,2,50,0,2,1,3,-66.67,0,1,1,2,-50,0,0,0,0,-,1,0,1,100,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,17,Ordiales ,-,O,0,0,0,0,-,-77.78,0,5,1,6,-83.33,0,1,0,1,-100,0,1,1,2,-50,0,0,1,1,0,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,19,Adajar ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,20,Josafat ,-,MB,0,0,0,0,-,-44.44,0,2,2,4,-50,0,1,2,3,-33.33,0,1,1,2,-50,0,0,0,0,-,0,0,0,-,0,0,2,2,0
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,1,21,Ramirez ,-,O,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,0,0,0,0,-,1,1,2,0,0,0,0,0,-
