Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2025,3,2025/9/13,G,Preliminary ,Quezon City,Philippines,Libya,Canada,1,3,25,20,12,27,-,22,25,25,29,-,ALL,24 ,85,60,100,61,49,9,3,-,49,22,29,100,9,15,14,38,3,13,69,85,15,15,54,84,15,15,62,24,0,81,105
2025,3,2025/9/13,G,Preliminary ,Quezon City,Philippines,Libya,Canada,1,3,25,20,12,27,-,22,25,25,29,-,1,7 ,25,18,22,21,16,4,1,-,16,4,4,24,4,2,0,6,1,4,20,25,5,3,11,19,3,3,11,9,0,13,22
2025,3,2025/9/13,G,Preliminary ,Quezon City,Philippines,Libya,Canada,1,3,25,20,12,27,-,22,25,25,29,-,2,4 ,20,16,25,9,8,1,0,-,8,2,4,14,1,6,1,8,0,3,17,20,0,5,11,16,1,4,9,2,0,12,14
2025,3,2025/9/13,G,Preliminary ,Quezon City,Philippines,Libya,Canada,1,3,25,20,12,27,-,22,25,25,29,-,3,3 ,13,9,24,10,10,0,0,-,10,8,8,26,0,2,5,7,0,2,11,13,3,5,15,23,6,3,18,5,0,25,30
2025,3,2025/9/13,G,Preliminary ,Quezon City,Philippines,Libya,Canada,1,3,25,20,12,27,-,22,25,25,29,-,4,10 ,27,17,29,21,15,4,2,-,15,8,13,36,4,5,8,17,2,4,21,27,7,2,17,26,5,5,24,8,0,31,39
2025,4,2025/9/13,D,Preliminary ,Pasay City,Philippines,Cuba,Portugal,1,3,25,22,19,19,-,20,25,25,25,-,ALL,23 ,86,62,94,62,48,7,7,-,48,18,39,105,7,23,16,46,7,18,61,86,19,5,52,76,17,13,53,44,2,58,104
2025,4,2025/9/13,D,Preliminary ,Pasay City,Philippines,Cuba,Portugal,1,3,25,22,19,19,-,20,25,25,25,-,1,11 ,25,14,20,15,10,2,3,-,10,4,11,25,2,4,7,13,3,4,18,25,4,2,8,14,7,3,16,8,0,13,21
2025,4,2025/9/13,D,Preliminary ,Pasay City,Philippines,Cuba,Portugal,1,3,25,22,19,19,-,20,25,25,25,-,2,4 ,22,18,25,15,10,3,2,-,10,4,6,20,3,7,0,10,2,7,13,22,4,1,13,18,1,2,6,11,1,9,21
2025,4,2025/9/13,D,Preliminary ,Pasay City,Philippines,Cuba,Portugal,1,3,25,22,19,19,-,20,25,25,25,-,3,5 ,20,14,24,16,15,0,1,-,15,6,14,35,0,5,7,12,1,3,16,20,7,0,14,21,7,4,22,14,1,22,37
2025,4,2025/9/13,D,Preliminary ,Pasay City,Philippines,Cuba,Portugal,1,3,25,22,19,19,-,20,25,25,25,-,4,3 ,19,16,25,16,13,2,1,-,13,4,8,25,2,7,2,11,1,4,14,19,4,2,17,23,2,4,9,11,0,14,25
2025,4,2025/9/13,D,Preliminary ,Pasay City,Philippines,Portugal,Cuba,3,1,20,25,25,25,-,25,22,19,19,-,ALL,32 ,94,63,86,64,48,11,5,-,48,12,29,89,11,19,17,47,5,18,71,94,19,7,42,68,16,7,42,39,0,45,84
2025,4,2025/9/13,D,Preliminary ,Pasay City,Philippines,Portugal,Cuba,3,1,20,25,25,25,-,25,22,19,19,-,1,6 ,20,14,25,14,10,2,2,-,10,6,11,27,2,3,3,8,2,6,12,20,5,3,13,21,4,1,14,9,0,14,23
2025,4,2025/9/13,D,Preliminary ,Pasay City,Philippines,Portugal,Cuba,3,1,20,25,25,25,-,25,22,19,19,-,2,7 ,25,18,22,15,11,3,1,-,11,3,2,16,3,4,2,9,1,7,17,25,3,2,10,15,3,2,6,5,0,12,17
2025,4,2025/9/13,D,Preliminary ,Pasay City,Philippines,Portugal,Cuba,3,1,20,25,25,25,-,25,22,19,19,-,3,10 ,24,15,20,16,13,3,0,-,13,0,13,26,3,6,8,17,0,3,21,24,8,1,8,17,6,2,13,16,0,9,25
2025,4,2025/9/13,D,Preliminary ,Pasay City,Philippines,Portugal,Cuba,3,1,20,25,25,25,-,25,22,19,19,-,4,9 ,25,16,19,19,14,3,2,-,14,3,3,20,3,6,4,13,2,2,21,25,3,1,11,15,3,2,9,9,0,10,19
2025,5,2025/9/13,G,Preliminary ,Quezon City,Philippines,Japan,Türkiye,0,3,19,23,19,-,-,25,25,25,-,-,ALL,18 ,63,43,73,40,33,6,1,-,33,18,40,91,6,13,16,35,1,13,48,62,10,7,45,62,29,11,54,26,0,65,91
2025,5,2025/9/13,G,Preliminary ,Quezon City,Philippines,Japan,Türkiye,0,3,19,23,19,-,-,25,25,25,-,-,1,5 ,20,14,24,14,11,2,1,-,11,6,12,29,2,3,7,12,1,4,14,19,2,3,16,21,10,4,16,12,0,16,28
2025,5,2025/9/13,G,Preliminary ,Quezon City,Philippines,Japan,Türkiye,0,3,19,23,19,-,-,25,25,25,-,-,2,8 ,23,15,25,13,12,1,0,-,12,6,15,33,1,7,6,14,0,4,20,24,4,2,13,19,13,4,21,7,0,25,32
2025,5,2025/9/13,G,Preliminary ,Quezon City,Philippines,Japan,Türkiye,0,3,19,23,19,-,-,25,25,25,-,-,3,5 ,20,14,24,13,10,3,0,-,10,6,13,29,3,3,3,9,0,5,14,19,4,2,16,22,6,3,17,7,0,24,31
2025,5,2025/9/13,G,Preliminary ,Quezon City,Philippines,Türkiye,Japan,3,0,25,25,25,-,-,19,23,19,-,-,ALL,30 ,73,45,63,52,37,8,7,-,37,13,30,80,8,12,22,42,7,12,55,74,11,1,37,49,24,10,44,31,0,46,77
2025,5,2025/9/13,G,Preliminary ,Quezon City,Philippines,Türkiye,Japan,3,0,25,25,25,-,-,19,23,19,-,-,1,10 ,24,15,20,16,12,1,3,-,12,2,11,25,1,6,5,12,3,4,18,25,2,1,12,15,7,4,18,6,0,19,25
2025,5,2025/9/13,G,Preliminary ,Quezon City,Philippines,Türkiye,Japan,3,0,25,25,25,-,-,19,23,19,-,-,2,10 ,25,15,23,19,13,4,2,-,13,5,12,30,4,3,6,13,2,5,17,24,6,0,14,20,9,4,16,16,0,14,30
2025,5,2025/9/13,G,Preliminary ,Quezon City,Philippines,Türkiye,Japan,3,0,25,25,25,-,-,19,23,19,-,-,3,10 ,24,15,20,17,12,3,2,-,12,6,7,25,3,3,11,17,2,3,20,25,3,0,11,14,8,2,10,9,0,13,22
2025,6,2025/9/13,E,Preliminary ,Pasay City,Philippines,Germany,Bulgaria,0,3,38,22,20,-,-,40,25,25,-,-,ALL,25 ,82,55,88,55,43,6,6,-,43,16,30,89,6,21,20,47,6,17,59,82,10,4,56,70,22,18,48,40,0,47,87
2025,6,2025/9/13,E,Preliminary ,Pasay City,Philippines,Germany,Bulgaria,0,3,38,22,20,-,-,40,25,25,-,-,1,12 ,39,26,39,21,15,5,1,-,15,6,13,34,5,12,9,26,1,6,32,39,2,2,22,26,10,7,22,10,0,23,33
2025,6,2025/9/13,E,Preliminary ,Pasay City,Philippines,Germany,Bulgaria,0,3,38,22,20,-,-,40,25,25,-,-,2,6 ,22,16,25,21,18,1,2,-,18,3,3,24,1,3,6,10,2,7,14,23,2,1,20,23,4,6,10,14,0,10,24
2025,6,2025/9/13,E,Preliminary ,Pasay City,Philippines,Germany,Bulgaria,0,3,38,22,20,-,-,40,25,25,-,-,3,7 ,21,13,24,13,10,0,3,-,10,7,14,31,0,6,5,11,3,4,13,20,6,1,14,21,8,5,16,16,0,14,30
2025,6,2025/9/13,E,Preliminary ,Pasay City,Philippines,Bulgaria,Germany,3,0,40,25,25,-,-,38,22,20,-,-,ALL,33 ,88,57,82,67,53,10,4,-,53,9,31,93,10,16,14,40,4,19,66,89,14,6,44,64,24,15,58,31,2,61,94
2025,6,2025/9/13,E,Preliminary ,Pasay City,Philippines,Bulgaria,Germany,3,0,40,25,25,-,-,38,22,20,-,-,1,13 ,39,27,39,33,26,5,2,-,26,6,15,47,5,7,8,20,2,14,24,40,11,1,20,32,12,7,25,17,1,29,47
2025,6,2025/9/13,E,Preliminary ,Pasay City,Philippines,Bulgaria,Germany,3,0,40,25,25,-,-,38,22,20,-,-,2,9 ,25,16,22,15,14,0,1,-,14,1,6,21,0,5,3,8,1,1,22,24,1,2,13,16,4,5,13,6,0,13,19
2025,6,2025/9/13,E,Preliminary ,Pasay City,Philippines,Bulgaria,Germany,3,0,40,25,25,-,-,38,22,20,-,-,3,11 ,24,14,21,19,13,5,1,-,13,2,10,25,5,4,3,12,1,4,20,25,2,3,11,16,8,3,20,8,1,19,28
2025,7,2025/9/13,B,Preliminary ,Quezon City,Philippines,Netherlands,Qatar,3,1,25,25,26,25,-,18,23,28,23,-,ALL,35 ,100,66,93,75,57,9,9,-,57,17,51,125,9,14,24,47,9,17,74,100,29,2,47,78,43,14,68,25,1,93,119
2025,7,2025/9/13,B,Preliminary ,Quezon City,Philippines,Netherlands,Qatar,3,1,25,25,26,25,-,18,23,28,23,-,1,12 ,24,13,19,19,13,5,1,-,13,3,19,35,5,5,8,18,1,3,21,25,4,0,12,16,18,2,23,7,0,26,33
2025,7,2025/9/13,B,Preliminary ,Quezon City,Philippines,Netherlands,Qatar,3,1,25,25,26,25,-,18,23,28,23,-,2,6 ,25,19,23,19,17,2,0,-,17,4,10,31,2,2,5,9,0,5,19,24,8,0,12,20,8,2,13,7,0,21,28
2025,7,2025/9/13,B,Preliminary ,Quezon City,Philippines,Netherlands,Qatar,3,1,25,25,26,25,-,18,23,28,23,-,3,8 ,26,18,28,20,13,1,6,-,13,6,9,28,1,4,5,10,6,6,15,27,6,1,16,23,6,4,11,6,0,21,27
2025,7,2025/9/13,B,Preliminary ,Quezon City,Philippines,Netherlands,Qatar,3,1,25,25,26,25,-,18,23,28,23,-,4,9 ,25,16,23,17,14,1,2,-,14,4,13,31,1,3,6,10,2,3,19,24,11,1,7,19,11,6,21,5,1,25,31
2025,7,2025/9/13,B,Preliminary ,Quezon City,Philippines,Qatar,Netherlands,1,3,18,23,28,23,-,25,25,26,25,-,ALL,27 ,93,65,100,62,51,9,2,-,51,16,55,122,9,17,16,42,2,15,76,93,13,9,61,83,41,13,73,21,3,101,125
2025,7,2025/9/13,B,Preliminary ,Quezon City,Philippines,Qatar,Netherlands,1,3,18,23,28,23,-,25,25,26,25,-,1,6 ,19,12,24,12,11,1,0,-,11,9,21,41,1,2,5,8,0,2,16,18,4,1,17,22,14,4,28,5,0,36,41
2025,7,2025/9/13,B,Preliminary ,Quezon City,Philippines,Qatar,Netherlands,1,3,18,23,28,23,-,25,25,26,25,-,2,4 ,23,19,25,15,14,1,0,-,14,3,9,26,1,3,3,7,0,4,20,24,6,0,13,19,7,3,13,8,1,18,27
2025,7,2025/9/13,B,Preliminary ,Quezon City,Philippines,Qatar,Netherlands,1,3,18,23,28,23,-,25,25,26,25,-,3,10 ,28,18,26,19,13,5,1,-,13,2,10,25,5,4,3,12,1,4,22,27,1,6,14,21,10,3,15,4,1,21,26
2025,7,2025/9/13,B,Preliminary ,Quezon City,Philippines,Qatar,Netherlands,1,3,18,23,28,23,-,25,25,26,25,-,4,7 ,23,16,25,16,13,2,1,-,13,2,15,30,2,8,5,15,1,5,18,24,2,2,17,21,10,3,17,4,1,26,31
2025,8,2025/9/13,E,Preliminary ,Pasay City,Philippines,Slovenia,Chile,3,0,25,25,25,-,-,19,20,16,-,-,ALL,32 ,74,43,56,62,47,10,5,-,47,8,20,75,10,13,21,44,5,14,55,74,11,1,37,49,23,11,43,21,0,51,72
2025,8,2025/9/13,E,Preliminary ,Pasay City,Philippines,Slovenia,Chile,3,0,25,25,25,-,-,19,20,16,-,-,1,10 ,25,15,19,21,16,2,3,-,16,2,5,23,2,6,6,14,3,4,18,25,5,0,13,18,6,6,14,7,0,16,23
2025,8,2025/9/13,E,Preliminary ,Pasay City,Philippines,Slovenia,Chile,3,0,25,25,25,-,-,19,20,16,-,-,2,9 ,24,16,21,21,15,5,1,-,15,3,9,27,5,4,6,15,1,6,18,25,3,1,14,18,10,1,12,9,0,17,26
2025,8,2025/9/13,E,Preliminary ,Pasay City,Philippines,Slovenia,Chile,3,0,25,25,25,-,-,19,20,16,-,-,3,13 ,25,12,16,20,16,3,1,-,16,3,6,25,3,3,9,15,1,4,19,24,3,0,10,13,7,4,17,5,0,18,23
2025,8,2025/9/13,E,Preliminary ,Pasay City,Philippines,Chile,Slovenia,0,3,19,20,16,-,-,25,25,25,-,-,ALL,13 ,56,42,74,36,30,5,1,-,30,15,40,85,5,10,7,22,1,8,48,57,8,5,47,60,18,10,46,14,0,70,84
2025,8,2025/9/13,E,Preliminary ,Pasay City,Philippines,Chile,Slovenia,0,3,19,20,16,-,-,25,25,25,-,-,1,4 ,19,15,25,13,11,2,0,-,11,4,12,27,2,3,1,6,0,2,18,20,2,3,16,21,5,3,12,4,0,23,27
2025,8,2025/9/13,E,Preliminary ,Pasay City,Philippines,Chile,Slovenia,0,3,19,20,16,-,-,25,25,25,-,-,2,5 ,21,15,24,13,10,2,1,-,10,7,13,30,2,3,3,8,1,2,17,20,3,1,15,19,9,3,17,5,0,24,29
2025,8,2025/9/13,E,Preliminary ,Pasay City,Philippines,Chile,Slovenia,0,3,19,20,16,-,-,25,25,25,-,-,3,4 ,16,12,25,10,9,1,0,-,9,4,15,28,1,4,3,8,0,4,13,17,3,1,16,20,4,4,17,5,0,23,28
2025,9,2025/9/13,B,Preliminary ,Quezon City,Philippines,Poland,Romania,3,0,34,25,25,-,-,32,15,19,-,-,ALL,33 ,82,51,68,55,40,9,6,-,40,6,27,73,9,13,13,35,6,19,58,83,6,2,40,48,22,13,43,15,2,58,75
2025,9,2025/9/13,B,Preliminary ,Quezon City,Philippines,Poland,Romania,3,0,34,25,25,-,-,32,15,19,-,-,1,12 ,33,22,33,21,14,5,2,-,14,5,15,34,5,6,3,14,2,9,23,34,3,1,21,25,9,3,15,5,2,28,35
2025,9,2025/9/13,B,Preliminary ,Quezon City,Philippines,Poland,Romania,3,0,34,25,25,-,-,32,15,19,-,-,2,13 ,25,12,15,14,11,1,2,-,11,1,5,17,1,5,5,11,2,5,17,24,1,0,8,9,5,2,10,6,0,11,17
2025,9,2025/9/13,B,Preliminary ,Quezon City,Philippines,Poland,Romania,3,0,34,25,25,-,-,32,15,19,-,-,3,8 ,24,17,20,20,15,3,2,-,15,0,7,22,3,2,5,10,2,5,18,25,2,1,11,14,8,8,18,4,0,19,23
2025,9,2025/9/13,B,Preliminary ,Quezon City,Philippines,Romania,Poland,0,3,32,15,19,-,-,34,25,25,-,-,ALL,17 ,68,49,82,41,36,3,2,-,36,15,24,75,3,13,16,32,2,19,46,67,6,6,51,63,18,11,39,28,2,48,78
2025,9,2025/9/13,B,Preliminary ,Quezon City,Philippines,Romania,Poland,0,3,32,15,19,-,-,34,25,25,-,-,1,11 ,33,21,33,19,15,3,1,-,15,8,7,30,3,4,7,14,1,7,24,32,3,2,19,24,11,6,21,11,1,21,33
2025,9,2025/9/13,B,Preliminary ,Quezon City,Philippines,Romania,Poland,0,3,32,15,19,-,-,34,25,25,-,-,2,3 ,15,12,25,8,8,0,0,-,8,4,9,21,0,4,4,8,0,7,9,16,0,2,17,19,2,1,6,10,1,11,22
2025,9,2025/9/13,B,Preliminary ,Quezon City,Philippines,Romania,Poland,0,3,32,15,19,-,-,34,25,25,-,-,3,3 ,20,16,24,14,13,0,1,-,13,3,8,24,0,5,5,10,1,5,13,19,3,2,15,20,5,4,12,7,0,16,23
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Argentina,Finland,3,2,19,18,25,25,15,25,25,22,22,11,ALL,32 ,100,70,107,71,57,11,3,-,57,19,50,126,11,29,15,55,3,15,84,102,16,3,70,89,25,32,85,42,1,88,131
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Argentina,Finland,3,2,19,18,25,25,15,25,25,22,22,11,1,4 ,18,15,26,11,11,0,0,-,11,6,13,30,0,5,2,7,0,5,14,19,4,0,16,20,3,8,19,8,1,22,31
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Argentina,Finland,3,2,19,18,25,25,15,25,25,22,22,11,2,6 ,19,12,24,12,9,2,1,-,9,5,6,20,2,8,1,11,1,2,16,19,2,2,16,20,4,6,13,7,0,16,23
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Argentina,Finland,3,2,19,18,25,25,15,25,25,22,22,11,3,7 ,24,18,23,21,18,3,0,-,18,3,9,30,3,4,2,9,0,4,20,24,3,1,17,21,7,8,19,13,0,17,30
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Argentina,Finland,3,2,19,18,25,25,15,25,25,22,22,11,4,10 ,25,15,22,18,13,4,1,-,13,5,17,35,4,7,7,18,1,2,22,25,3,0,17,20,9,6,25,11,0,25,36
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Argentina,Finland,3,2,19,18,25,25,15,25,25,22,22,11,5,5 ,14,10,12,9,6,2,1,-,6,0,5,11,2,5,3,10,1,2,12,15,4,0,4,8,2,4,9,3,0,8,11
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Finland,Argentina,2,3,25,25,22,22,11,19,18,25,25,15,ALL,37 ,107,68,100,83,66,14,3,-,66,24,32,122,14,17,33,64,3,17,86,106,26,3,58,87,19,35,87,45,0,78,123
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Finland,Argentina,2,3,25,25,22,22,11,19,18,25,25,15,1,11 ,26,14,18,17,12,5,0,-,12,2,7,21,5,4,10,19,0,5,20,25,5,0,9,14,3,7,15,6,0,14,20
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Finland,Argentina,2,3,25,25,22,22,11,19,18,25,25,15,2,12 ,24,13,19,21,16,3,2,-,16,4,5,25,3,3,4,10,2,4,18,24,4,1,12,17,6,5,14,11,0,13,24
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Finland,Argentina,2,3,25,25,22,22,11,19,18,25,25,15,3,5 ,23,17,24,18,14,3,1,-,14,5,5,24,3,2,6,11,1,2,20,23,6,0,14,20,1,14,24,9,0,15,24
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Finland,Argentina,2,3,25,25,22,22,11,19,18,25,25,15,4,7 ,22,15,25,18,15,3,0,-,15,8,12,35,3,4,9,16,0,3,20,23,6,1,16,23,6,8,27,12,0,26,38
2025,10,2025/9/14,C,Preliminary ,Quezon City,Philippines,Finland,Argentina,2,3,25,25,22,22,11,19,18,25,25,15,5,2 ,12,9,14,9,9,0,0,-,9,5,3,17,0,4,4,8,0,3,8,11,5,1,7,13,3,1,7,7,0,10,17
